Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Wed Dec 27 2023,8:30p,Cleveland Cavaliers,,Dallas Mavericks,,,,,American Airlines Center,
Thu Dec 28 2023,7:30p,Detroit Pistons,,Boston Celtics,,,,,TD Garden,
Thu Dec 28 2023,8:00p,Indiana Pacers,,Chicago Bulls,,,,,United Center,
Thu Dec 28 2023,8:00p,Dallas Mavericks,,Minnesota Timberwolves,,,,,Target Center,
Thu Dec 28 2023,8:00p,Utah Jazz,,New Orleans Pelicans,,,,,Smoothie King Center,
Thu Dec 28 2023,9:00p,Memphis Grizzlies,,Denver Nuggets,,,,,Ball Arena,
Thu Dec 28 2023,10:00p,Miami Heat,,Golden State Warriors,,,,,Chase Center,
Thu Dec 28 2023,10:00p,San Antonio Spurs,,Portland Trail Blazers,,,,,Moda Center,
Thu Dec 28 2023,10:30p,Charlotte Hornets,,Los Angeles Lakers,,,,,Crypto.com Arena,
Fri Dec 29 2023,7:00p,New York Knicks,,Orlando Magic,,,,,Amway Center,
Fri Dec 29 2023,7:00p,Brooklyn Nets,,Washington Wizards,,,,,Capital One Arena,
Fri Dec 29 2023,7:30p,Sacramento Kings,,Atlanta Hawks,,,,,State Farm Arena,
Fri Dec 29 2023,7:30p,Toronto Raptors,,Boston Celtics,,,,,TD Garden,
Fri Dec 29 2023,7:30p,Milwaukee Bucks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Fri Dec 29 2023,8:00p,Philadelphia 76ers,,Houston Rockets,,,,,Toyota Center,
Fri Dec 29 2023,9:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,Ball Arena,
Fri Dec 29 2023,9:00p,Charlotte Hornets,,Phoenix Suns,,,,,Footprint Center,
Fri Dec 29 2023,10:00p,San Antonio Spurs,,Portland Trail Blazers,,,,,Moda Center,
Fri Dec 29 2023,10:30p,Memphis Grizzlies,,Los Angeles Clippers,,,,,Crypto.com Arena,
Sat Dec 30 2023,5:00p,Miami Heat,,Utah Jazz,,,,,Delta Center,
Sat Dec 30 2023,6:00p,Toronto Raptors,,Detroit Pistons,,,,,Little Caesars Arena,
Sat Dec 30 2023,7:00p,New York Knicks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Sat Dec 30 2023,8:00p,Philadelphia 76ers,,Chicago Bulls,,,,,United Center,
Sat Dec 30 2023,8:00p,Los Angeles Lakers,,Minnesota Timberwolves,,,,,Target Center,
Sat Dec 30 2023,8:30p,Dallas Mavericks,,Golden State Warriors,,,,,Chase Center,
Sun Dec 31 2023,3:00p,Atlanta Hawks,,Washington Wizards,,,,,Capital One Arena,
Sun Dec 31 2023,7:00p,Los Angeles Lakers,,New Orleans Pelicans,,,,,Smoothie King Center,
Sun Dec 31 2023,7:00p,Brooklyn Nets,,Oklahoma City Thunder,,,,,Paycom Center,
Sun Dec 31 2023,7:00p,Boston Celtics,,San Antonio Spurs,,,,,Frost Bank Center,
Sun Dec 31 2023,8:00p,Sacramento Kings,,Memphis Grizzlies,,,,,FedEx Forum,
Sun Dec 31 2023,8:00p,Orlando Magic,,Phoenix Suns,,,,,Footprint Center,
