Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Wed Nov 23 2022,7:30p,Sacramento Kings,106,Atlanta Hawks,115,Box Score,,18173,State Farm Arena,
Wed Nov 23 2022,7:30p,Dallas Mavericks,112,Boston Celtics,125,Box Score,,19156,TD Garden,
Wed Nov 23 2022,7:30p,Washington Wizards,105,Miami Heat,113,Box Score,,19600,Kaseya Center,
Wed Nov 23 2022,7:30p,Brooklyn Nets,112,Toronto Raptors,98,Box Score,,19800,Scotiabank Arena,
Wed Nov 23 2022,8:00p,Chicago Bulls,118,Milwaukee Bucks,113,Box Score,,17341,Fiserv Forum,
Wed Nov 23 2022,8:00p,Denver Nuggets,131,Oklahoma City Thunder,126,Box Score,OT,13656,Paycom Center,
Wed Nov 23 2022,8:00p,New Orleans Pelicans,129,San Antonio Spurs,110,Box Score,,14947,AT&T Center,
Wed Nov 23 2022,9:00p,Detroit Pistons,125,Utah Jazz,116,Box Score,,18206,Vivint Arena,
Wed Nov 23 2022,10:00p,Los Angeles Clippers,107,Golden State Warriors,124,Box Score,,18064,Chase Center,
Fri Nov 25 2022,5:00p,Minnesota Timberwolves,108,Charlotte Hornets,110,Box Score,,17924,Spectrum Center,
Fri Nov 25 2022,7:00p,Philadelphia 76ers,107,Orlando Magic,99,Box Score,,15384,Amway Center,
Fri Nov 25 2022,7:30p,Portland Trail Blazers,132,New York Knicks,129,Box Score,OT,19812,Madison Square Garden (IV),
Fri Nov 25 2022,8:00p,Sacramento Kings,104,Boston Celtics,122,Box Score,,19156,TD Garden,
Fri Nov 25 2022,8:00p,Atlanta Hawks,122,Houston Rockets,128,Box Score,,16669,Toyota Center,
Fri Nov 25 2022,8:00p,Brooklyn Nets,117,Indiana Pacers,128,Box Score,,15404,Gainbridge Fieldhouse,
Fri Nov 25 2022,8:00p,New Orleans Pelicans,111,Memphis Grizzlies,132,Box Score,,17794,FedEx Forum,
Fri Nov 25 2022,8:00p,Washington Wizards,107,Miami Heat,110,Box Score,,19600,Kaseya Center,
Fri Nov 25 2022,8:00p,Cleveland Cavaliers,102,Milwaukee Bucks,117,Box Score,,17447,Fiserv Forum,
Fri Nov 25 2022,8:00p,Chicago Bulls,119,Oklahoma City Thunder,123,Box Score,OT,16082,Paycom Center,
Fri Nov 25 2022,8:00p,Los Angeles Lakers,105,San Antonio Spurs,94,Box Score,,18354,AT&T Center,
Fri Nov 25 2022,9:00p,Detroit Pistons,102,Phoenix Suns,108,Box Score,,17071,Footprint Center,
Fri Nov 25 2022,10:00p,Utah Jazz,118,Golden State Warriors,129,Box Score,,18064,Chase Center,
Fri Nov 25 2022,10:30p,Denver Nuggets,114,Los Angeles Clippers,104,Box Score,,16559,Crypto.com Arena,
Sat Nov 26 2022,5:00p,Dallas Mavericks,100,Toronto Raptors,105,Box Score,,19800,Scotiabank Arena,
Sat Nov 26 2022,8:00p,Oklahoma City Thunder,105,Houston Rockets,118,Box Score,,15151,Toyota Center,
