Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Wed May 19 2021,7:30p,San Antonio Spurs,96,Memphis Grizzlies,100,Box Score,,7019,FedEx Forum,Play-In Game
Wed May 19 2021,10:00p,Golden State Warriors,100,Los Angeles Lakers,103,Box Score,,6022,STAPLES Center,Play-In Game
Thu May 20 2021,8:00p,Indiana Pacers,115,Washington Wizards,142,Box Score,,0,Capital One Arena,Play-In Game
Fri May 21 2021,9:00p,Memphis Grizzlies,117,Golden State Warriors,112,Box Score,OT,7505,Chase Center,Play-In Game
Sat May 22 2021,2:00p,Miami Heat,107,Milwaukee Bucks,109,Box Score,OT,9107,Fiserv Forum,
Sat May 22 2021,4:30p,Dallas Mavericks,113,Los Angeles Clippers,103,Box Score,,6117,STAPLES Center,
Sat May 22 2021,8:00p,Boston Celtics,93,Brooklyn Nets,104,Box Score,,14391,Barclays Center,
Sat May 22 2021,10:30p,Portland Trail Blazers,123,Denver Nuggets,109,Box Score,,7732,Ball Arena,
Sun May 23 2021,1:00p,Washington Wizards,118,Philadelphia 76ers,125,Box Score,,11160,Wells Fargo Center,
Sun May 23 2021,3:30p,Los Angeles Lakers,90,Phoenix Suns,99,Box Score,,11824,Phoenix Suns Arena,
Sun May 23 2021,7:00p,Atlanta Hawks,107,New York Knicks,105,Box Score,,15047,Madison Square Garden (IV),
Sun May 23 2021,9:30p,Memphis Grizzlies,112,Utah Jazz,109,Box Score,,13750,Vivint Smart Home Arena,
Mon May 24 2021,7:30p,Miami Heat,98,Milwaukee Bucks,132,Box Score,,9107,Fiserv Forum,
Mon May 24 2021,10:00p,Portland Trail Blazers,109,Denver Nuggets,128,Box Score,,7727,Ball Arena,
Tue May 25 2021,7:30p,Boston Celtics,108,Brooklyn Nets,130,Box Score,,14774,Barclays Center,
Tue May 25 2021,10:00p,Los Angeles Lakers,109,Phoenix Suns,102,Box Score,,11919,Phoenix Suns Arena,
Tue May 25 2021,10:30p,Dallas Mavericks,127,Los Angeles Clippers,121,Box Score,,6885,STAPLES Center,
Wed May 26 2021,7:00p,Washington Wizards,95,Philadelphia 76ers,120,Box Score,,11160,Wells Fargo Center,
Wed May 26 2021,7:30p,Atlanta Hawks,92,New York Knicks,101,Box Score,,16254,Madison Square Garden (IV),
Wed May 26 2021,10:00p,Memphis Grizzlies,129,Utah Jazz,141,Box Score,,14200,Vivint Smart Home Arena,
Thu May 27 2021,7:30p,Milwaukee Bucks,113,Miami Heat,84,Box Score,,17000,AmericanAirlines Arena,
Thu May 27 2021,10:00p,Phoenix Suns,95,Los Angeles Lakers,109,Box Score,,7825,STAPLES Center,
Thu May 27 2021,10:30p,Denver Nuggets,120,Portland Trail Blazers,115,Box Score,,8050,Moda Center,
Fri May 28 2021,7:00p,New York Knicks,94,Atlanta Hawks,105,Box Score,,15743,State Farm Arena,
Fri May 28 2021,8:30p,Brooklyn Nets,119,Boston Celtics,125,Box Score,,4789,TD Garden,
Fri May 28 2021,9:30p,Los Angeles Clippers,118,Dallas Mavericks,108,Box Score,,17705,American Airlines Center,
Sat May 29 2021,1:30p,Milwaukee Bucks,120,Miami Heat,103,Box Score,,17000,AmericanAirlines Arena,
Sat May 29 2021,4:00p,Denver Nuggets,95,Portland Trail Blazers,115,Box Score,,8050,Moda Center,
Sat May 29 2021,7:00p,Philadelphia 76ers,132,Washington Wizards,103,Box Score,,0,Capital One Arena,
Sat May 29 2021,9:30p,Utah Jazz,121,Memphis Grizzlies,111,Box Score,,12185,FedEx Forum,
Sun May 30 2021,1:00p,New York Knicks,96,Atlanta Hawks,113,Box Score,,16458,State Farm Arena,
Sun May 30 2021,3:30p,Phoenix Suns,100,Los Angeles Lakers,92,Box Score,,8025,STAPLES Center,
Sun May 30 2021,7:00p,Brooklyn Nets,141,Boston Celtics,126,Box Score,,17226,TD Garden,
Sun May 30 2021,9:30p,Los Angeles Clippers,106,Dallas Mavericks,81,Box Score,,17761,American Airlines Center,
Mon May 31 2021,7:00p,Philadelphia 76ers,114,Washington Wizards,122,Box Score,,10665,Capital One Arena,
Mon May 31 2021,9:30p,Utah Jazz,120,Memphis Grizzlies,113,Box Score,,12185,FedEx Forum,
